yourlist:M20200514A94466D2655679D1FD8953E075198DA8C1D4D0E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ZBTB37	Q5TC79	ZBT37_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 37	ZBTB37	Homo sapiens (Human)	503
SERPINC1	P01008	ANT3_HUMAN	reviewed	Antithrombin-III (ATIII) (Serpin C1)	SERPINC1 AT3 PRO0309	Homo sapiens (Human)	464
GPR52	Q9Y2T5	GPR52_HUMAN	reviewed	G-protein coupled receptor 52	GPR52	Homo sapiens (Human)	361
TNN	Q9UQP3	TENN_HUMAN	reviewed	Tenascin-N (TN-N) (Tenascin-W) (TN-W)	TNN TNW	Homo sapiens (Human)	1299
KIAA0040	Q15053	K0040_HUMAN	reviewed	Uncharacterized protein KIAA0040	KIAA0040	Homo sapiens (Human)	99
TNR	Q92752	TENR_HUMAN	reviewed	Tenascin-R (TN-R) (Janusin) (Restrictin)	TNR	Homo sapiens (Human)	1358
PAPPA2	Q9BXP8	PAPP2_HUMAN	reviewed	Pappalysin-2 (EC 3.4.24.-) (Pregnancy-associated plasma protein A2) (PAPP-A2) (Pregnancy-associated plasma protein E1) (PAPP-E)	PAPPA2 PLAC3	Homo sapiens (Human)	1791
ASTN1	O14525	ASTN1_HUMAN	reviewed	Astrotactin-1	ASTN1 ASTN KIAA0289	Homo sapiens (Human)	1302
BRINP2	Q9C0B6	BRNP2_HUMAN	reviewed	BMP/retinoic acid-inducible neural-specific protein 2 (DBCCR1-like protein 2)	BRINP2 DBCCR1L2 FAM5B KIAA1747	Homo sapiens (Human)	783
SEC16B	Q96JE7	SC16B_HUMAN	reviewed	Protein transport protein Sec16B (Leucine zipper transcription regulator 2) (Regucalcin gene promoter region-related protein p117) (RGPR-p117) (SEC16 homolog B)	SEC16B KIAA1928 LZTR2 RGPR SEC16S	Homo sapiens (Human)	1060
TEX35	Q5T0J7	TEX35_HUMAN	reviewed	Testis-expressed protein 35	TEX35 C1orf49	Homo sapiens (Human)	233
C1orf220	Q5T0J3	CA220_HUMAN	reviewed	Putative uncharacterized protein C1orf220	C1orf220	Homo sapiens (Human)	134
TOR3A	Q9H497	TOR3A_HUMAN	reviewed	Torsin-3A (ATP-dependent interferon-responsive protein) (Torsin family 3 member A)	TOR3A ADIR	Homo sapiens (Human)	397
ABL2	P42684	ABL2_HUMAN	reviewed	Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	ABL2 ABLL ARG	Homo sapiens (Human)	1182
AXDND1	Q5T1B0	AXDN1_HUMAN	reviewed	Axonemal dynein light chain domain-containing protein 1	AXDND1 C1orf125	Homo sapiens (Human)	1012
NPHS2	Q9NP85	PODO_HUMAN	reviewed	Podocin	NPHS2	Homo sapiens (Human)	383
TDRD5	Q8NAT2	TDRD5_HUMAN	reviewed	Tudor domain-containing protein 5	TDRD5 TUDOR3	Homo sapiens (Human)	981
TOR1AIP1	Q5JTV8	TOIP1_HUMAN	reviewed	Torsin-1A-interacting protein 1 (Lamin-associated protein 1B) (LAP1B)	TOR1AIP1 LAP1	Homo sapiens (Human)	583
CEP350	Q5VT06	CE350_HUMAN	reviewed	Centrosome-associated protein 350 (Cep350) (Centrosome-associated protein of 350 kDa)	CEP350 CAP350 KIAA0480 GM133	Homo sapiens (Human)	3117
QSOX1	O00391	QSOX1_HUMAN	reviewed	Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6)	QSOX1 QSCN6 UNQ2520/PRO6013	Homo sapiens (Human)	747
LHX4	Q969G2	LHX4_HUMAN	reviewed	LIM/homeobox protein Lhx4 (LIM homeobox protein 4)	LHX4	Homo sapiens (Human)	390
XPR1	Q9UBH6	XPR1_HUMAN	reviewed	Xenotropic and polytropic retrovirus receptor 1 (Protein SYG1 homolog) (Xenotropic and polytropic murine leukemia virus receptor X3) (X-receptor)	XPR1 SYG1 XR	Homo sapiens (Human)	696
KIAA1614	Q5VZ46	K1614_HUMAN	reviewed	Uncharacterized protein KIAA1614	KIAA1614	Homo sapiens (Human)	1190
IER5	Q5VY09	IER5_HUMAN	reviewed	Immediate early response gene 5 protein	IER5 PP4583 SBBI48	Homo sapiens (Human)	327
CACNA1E	Q15878	CAC1E_HUMAN	reviewed	Voltage-dependent R-type calcium channel subunit alpha-1E (Brain calcium channel II) (BII) (Calcium channel, L type, alpha-1 polypeptide, isoform 6) (Voltage-gated calcium channel subunit alpha Cav2.3)	CACNA1E CACH6 CACNL1A6	Homo sapiens (Human)	2313
ZNF648	Q5T619	ZN648_HUMAN	reviewed	Zinc finger protein 648	ZNF648	Homo sapiens (Human)	568
GLUL	P15104	GLNA_HUMAN	reviewed	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225)	GLUL GLNS	Homo sapiens (Human)	373
TEDDM1	Q5T9Z0	TEDM1_HUMAN	reviewed	Transmembrane epididymal protein 1 (Human epididymis-specific protein 9) (He9)	TEDDM1 HE9	Homo sapiens (Human)	273
RGS16	O15492	RGS16_HUMAN	reviewed	Regulator of G-protein signaling 16 (RGS16) (A28-RGS14P) (Retinal-specific RGS) (RGS-r) (hRGS-r) (Retinally abundant regulator of G-protein signaling)	RGS16 RGSR	Homo sapiens (Human)	202
DHX9	Q08211	DHX9_HUMAN	reviewed	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	DHX9 DDX9 LKP NDH2	Homo sapiens (Human)	1270
LAMC1	P11047	LAMC1_HUMAN	reviewed	Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma)	LAMC1 LAMB2	Homo sapiens (Human)	1609
LAMC2	Q13753	LAMC2_HUMAN	reviewed	Laminin subunit gamma-2 (Cell-scattering factor 140 kDa subunit) (CSF 140 kDa subunit) (Epiligrin subunit gamma) (Kalinin subunit gamma) (Kalinin/nicein/epiligrin 100 kDa subunit) (Ladsin 140 kDa subunit) (Laminin B2t chain) (Laminin-5 subunit gamma) (Large adhesive scatter factor 140 kDa subunit) (Nicein subunit gamma)	LAMC2 LAMB2T LAMNB2	Homo sapiens (Human)	1193
SMG7	Q92540	SMG7_HUMAN	reviewed	Protein SMG7 (EST1-like protein C) (SMG-7 homolog) (hSMG-7)	SMG7 C1orf16 EST1C KIAA0250	Homo sapiens (Human)	1137
APOBEC4	Q8WW27	ABEC4_HUMAN	reviewed	Putative C->U-editing enzyme APOBEC-4 (EC 3.5.4.-) (Apolipoprotein B mRNA-editing enzyme catalytic polypeptide-like 4)	APOBEC4 C1orf169	Homo sapiens (Human)	367
TSEN15	Q8WW01	SEN15_HUMAN	reviewed	tRNA-splicing endonuclease subunit Sen15 (SEN15 homolog) (HsSEN15) (tRNA-intron endonuclease Sen15)	TSEN15 C1orf19 SEN15	Homo sapiens (Human)	171
EDEM3	Q9BZQ6	EDEM3_HUMAN	reviewed	ER degradation-enhancing alpha-mannosidase-like protein 3 (EC 3.2.1.113) (Alpha-1,2-mannosidase EDEM3)	EDEM3 C1orf22	Homo sapiens (Human)	932
HMCN1	Q96RW7	HMCN1_HUMAN	reviewed	Hemicentin-1 (Fibulin-6) (FIBL-6)	HMCN1 FIBL6	Homo sapiens (Human)	5635
PLA2G4A	P47712	PA24A_HUMAN	reviewed	Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)]	PLA2G4A CPLA2 PLA2G4	Homo sapiens (Human)	749
TROVE2	P10155	RO60_HUMAN	reviewed	60 kDa SS-A/Ro ribonucleoprotein (60 kDa Ro protein) (60 kDa ribonucleoprotein Ro) (Ro60) (RoRNP) (Ro 60 kDa autoantigen) (Ro60 autoantigen) (Sjoegren syndrome antigen A2) (Sjoegren syndrome type A antigen) (SS-A) (TROVE domain family member 2)	RO60 SSA2 TROVE2	Homo sapiens (Human)	538
GLRX2	Q9NS18	GLRX2_HUMAN	reviewed	Glutaredoxin-2, mitochondrial	GLRX2 GRX2 CGI-133	Homo sapiens (Human)	164
KCNT2	Q6UVM3	KCNT2_HUMAN	reviewed	Potassium channel subfamily T member 2 (Sequence like an intermediate conductance potassium channel subunit) (Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1)	KCNT2 SLICK	Homo sapiens (Human)	1135
CFH	P08603	CFAH_HUMAN	reviewed	Complement factor H (H factor 1)	CFH HF HF1 HF2	Homo sapiens (Human)	1231
CFHR4	Q92496	FHR4_HUMAN	reviewed	Complement factor H-related protein 4 (FHR-4)	CFHR4 CFHL4 FHR4	Homo sapiens (Human)	578
F13B	P05160	F13B_HUMAN	reviewed	Coagulation factor XIII B chain (Fibrin-stabilizing factor B subunit) (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain)	F13B	Homo sapiens (Human)	661
ASPM	Q8IZT6	ASPM_HUMAN	reviewed	Abnormal spindle-like microcephaly-associated protein (Abnormal spindle protein homolog) (Asp homolog)	ASPM MCPH5	Homo sapiens (Human)	3477
ZBTB41	Q5SVQ8	ZBT41_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 41	ZBTB41 FRBZ1	Homo sapiens (Human)	909
CRB1	P82279	CRUM1_HUMAN	reviewed	Protein crumbs homolog 1	CRB1	Homo sapiens (Human)	1406
DENND1B	Q6P3S1	DEN1B_HUMAN	reviewed	DENN domain-containing protein 1B (Connecdenn 2) (Protein FAM31B)	DENND1B C1orf218 FAM31B	Homo sapiens (Human)	775
C1orf53	Q5VUE5	CA053_HUMAN	reviewed	Uncharacterized protein C1orf53	C1orf53	Homo sapiens (Human)	145
NR5A2	O00482	NR5A2_HUMAN	reviewed	Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)	NR5A2 B1F CPF FTF	Homo sapiens (Human)	541
LINC00862	A6NCI5	SIM16_HUMAN	reviewed	Putative transmembrane protein encoded by LINC00862 (Small integral membrane protein 16)	LINC00862 C1orf98 SMIM16	Homo sapiens (Human)	91
KIF14	Q15058	KIF14_HUMAN	reviewed	Kinesin-like protein KIF14	KIF14 KIAA0042	Homo sapiens (Human)	1648
DDX59	Q5T1V6	DDX59_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX59 (EC 3.6.4.13) (DEAD box protein 59) (Zinc finger HIT domain-containing protein 5)	DDX59 ZNHIT5	Homo sapiens (Human)	619
C1orf106	Q3KP66	INAVA_HUMAN	reviewed	Innate immunity activator protein	INAVA C1orf106	Homo sapiens (Human)	663
KIF21B	O75037	KI21B_HUMAN	reviewed	Kinesin-like protein KIF21B	KIF21B KIAA0449	Homo sapiens (Human)	1637
CACNA1S	Q13698	CAC1S_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1S (Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle) (Voltage-gated calcium channel subunit alpha Cav1.1)	CACNA1S CACH1 CACN1 CACNL1A3	Homo sapiens (Human)	1873
TMEM9	Q9P0T7	TMEM9_HUMAN	reviewed	Transmembrane protein 9 (Dermal papilla-derived protein 4)	TMEM9 DERP4 TMEM9A HSPC186 PSEC0012 UNQ631/PRO1248	Homo sapiens (Human)	183
IGFN1	Q86VF2	IGFN1_HUMAN	reviewed	Immunoglobulin-like and fibronectin type III domain-containing protein 1 (EEF1A2-binding protein 1) (KY-interacting protein 1)	IGFN1 EEF1A2BP1 KYIP1	Homo sapiens (Human)	1251
TNNT2	P45379	TNNT2_HUMAN	reviewed	Troponin T, cardiac muscle (TnTc) (Cardiac muscle troponin T) (cTnT)	TNNT2	Homo sapiens (Human)	298
LAD1	O00515	LAD1_HUMAN	reviewed	Ladinin-1 (Lad-1) (Linear IgA disease antigen) (LADA)	LAD1 LAD	Homo sapiens (Human)	517
NAV1	Q8NEY1	NAV1_HUMAN	reviewed	Neuron navigator 1 (Pore membrane and/or filament-interacting-like protein 3) (Steerin-1) (Unc-53 homolog 1) (unc53H1)	NAV1 KIAA1151 KIAA1213 POMFIL3 STEERIN1	Homo sapiens (Human)	1877
SHISA4	Q96DD7	SHSA4_HUMAN	reviewed	Protein shisa-4 (Transmembrane protein 58)	SHISA4 C1orf40 TMEM58 UNQ583/PRO1153	Homo sapiens (Human)	197
RNPEP	Q9H4A4	AMPB_HUMAN	reviewed	Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase)	RNPEP APB	Homo sapiens (Human)	650
ELF3	P78545	ELF3_HUMAN	reviewed	ETS-related transcription factor Elf-3 (E74-like factor 3) (Epithelial-restricted with serine box) (Epithelium-restricted Ets protein ESX) (Epithelium-specific Ets transcription factor 1) (ESE-1)	ELF3 ERT ESX JEN	Homo sapiens (Human)	371
GPR37L1	O60883	G37L1_HUMAN	reviewed	G-protein coupled receptor 37-like 1 (Endothelin B receptor-like protein 2) (ETBR-LP-2)	GPR37L1 ETBRLP2	Homo sapiens (Human)	481
LGR6	Q9HBX8	LGR6_HUMAN	reviewed	Leucine-rich repeat-containing G-protein coupled receptor 6	LGR6 UNQ6427/PRO21331 VTS20631	Homo sapiens (Human)	967
UBE2T	Q9NPD8	UBE2T_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 T (EC 2.3.2.23) (Cell proliferation-inducing gene 50 protein) (E2 ubiquitin-conjugating enzyme T) (Ubiquitin carrier protein T) (Ubiquitin-protein ligase T)	UBE2T HSPC150 PIG50	Homo sapiens (Human)	197
SYT2	Q8N9I0	SYT2_HUMAN	reviewed	Synaptotagmin-2 (Synaptotagmin II) (SytII)	SYT2	Homo sapiens (Human)	419
KDM5B	Q9UGL1	KDM5B_HUMAN	reviewed	Lysine-specific demethylase 5B (EC 1.14.11.-) (Cancer/testis antigen 31) (CT31) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B) (PLU-1) (Retinoblastoma-binding protein 2 homolog 1) (RBP2-H1)	KDM5B JARID1B PLU1 RBBP2H1	Homo sapiens (Human)	1544
PPFIA4	O75335	LIPA4_HUMAN	reviewed	Liprin-alpha-4 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-4) (PTPRF-interacting protein alpha-4)	PPFIA4 KIAA0897	Homo sapiens (Human)	1185
ADORA1	P30542	AA1R_HUMAN	reviewed	Adenosine receptor A1	ADORA1	Homo sapiens (Human)	326
CHI3L1	P36222	CH3L1_HUMAN	reviewed	Chitinase-3-like protein 1 (39 kDa synovial protein) (Cartilage glycoprotein 39) (CGP-39) (GP-39) (hCGP-39) (YKL-40)	CHI3L1	Homo sapiens (Human)	383
CHIT1	Q13231	CHIT1_HUMAN	reviewed	Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)	CHIT1	Homo sapiens (Human)	466
FMOD	Q06828	FMOD_HUMAN	reviewed	Fibromodulin (FM) (Collagen-binding 59 kDa protein) (Keratan sulfate proteoglycan fibromodulin) (KSPG fibromodulin)	FMOD FM SLRR2E	Homo sapiens (Human)	376
PRELP	P51888	PRELP_HUMAN	reviewed	Prolargin (Proline-arginine-rich end leucine-rich repeat protein)	PRELP SLRR2A	Homo sapiens (Human)	382
ZBED6	P86452	ZBED6_HUMAN	reviewed	Zinc finger BED domain-containing protein 6	ZBED6	Homo sapiens (Human)	979
ZC3H11A	O75152	ZC11A_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 11A	ZC3H11A KIAA0663 ZC3HDC11A	Homo sapiens (Human)	810
LINC00303	Q3SY05	CA157_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00303	LINC00303 C1orf157 NCRNA00303	Homo sapiens (Human)	128
PLEKHA6	Q9Y2H5	PKHA6_HUMAN	reviewed	Pleckstrin homology domain-containing family A member 6 (PH domain-containing family A member 6) (Phosphoinositol 3-phosphate-binding protein 3) (PEPP-3)	PLEKHA6 KIAA0969 PEPP3	Homo sapiens (Human)	1048
PPP1R15B	Q5SWA1	PR15B_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 15B	PPP1R15B	Homo sapiens (Human)	713
PIK3C2B	O00750	P3C2B_HUMAN	reviewed	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	PIK3C2B	Homo sapiens (Human)	1634
LRRN2	O43300	LRRT2_HUMAN	reviewed	Leucine-rich repeat transmembrane neuronal protein 2 (Leucine-rich repeat neuronal 2 protein)	LRRTM2 KIAA0416 LRRN2	Homo sapiens (Human)	516
LRRN2	O75325	LRRN2_HUMAN	reviewed	Leucine-rich repeat neuronal protein 2 (Glioma amplified on chromosome 1 protein) (Leucine-rich repeat neuronal protein 5)	LRRN2 GAC1 LRRN5 UNQ256/PRO293	Homo sapiens (Human)	713
NFASC	O94856	NFASC_HUMAN	reviewed	Neurofascin	NFASC KIAA0756	Homo sapiens (Human)	1347
CNTN2	Q02246	CNTN2_HUMAN	reviewed	Contactin-2 (Axonal glycoprotein TAG-1) (Axonin-1) (Transient axonal glycoprotein 1) (TAX-1)	CNTN2 AXT TAG1 TAX1	Homo sapiens (Human)	1040
TMEM81	Q6P7N7	TMM81_HUMAN	reviewed	Transmembrane protein 81	TMEM81 UNQ2788/PRO7178	Homo sapiens (Human)	255
DSTYK	Q6XUX3	DUSTY_HUMAN	reviewed	Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (RIP-homologous kinase) (Receptor-interacting serine/threonine-protein kinase 5) (Sugen kinase 496) (SgK496)	DSTYK KIAA0472 RIP5 RIPK5 SGK496 HDCMD38P	Homo sapiens (Human)	929
NUAK2	Q9H093	NUAK2_HUMAN	reviewed	NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK)	NUAK2 OMPHK2 SNARK	Homo sapiens (Human)	628
KLHDC8A	Q8IYD2	KLD8A_HUMAN	reviewed	Kelch domain-containing protein 8A (Substitute for delta-EGFR expression 1) (S-delta-E1)	KLHDC8A	Homo sapiens (Human)	350
CDK18	Q07002	CDK18_HUMAN	reviewed	Cyclin-dependent kinase 18 (EC 2.7.11.22) (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3)	CDK18 PCTAIRE3 PCTK3	Homo sapiens (Human)	474
SLC41A1	Q8IVJ1	S41A1_HUMAN	reviewed	Solute carrier family 41 member 1	SLC41A1	Homo sapiens (Human)	513
PM20D1	Q6GTS8	P20D1_HUMAN	reviewed	N-fatty-acyl-amino acid synthase/hydrolase PM20D1 (EC 3.5.1.-) (EC 4.3.-.-) (Peptidase M20 domain-containing protein 1)	PM20D1	Homo sapiens (Human)	502
SLC26A9	Q7LBE3	S26A9_HUMAN	reviewed	Solute carrier family 26 member 9 (Anion transporter/exchanger protein 9)	SLC26A9	Homo sapiens (Human)	791
SRGAP2	O43295	SRGP3_HUMAN	reviewed	SLIT-ROBO Rho GTPase-activating protein 3 (srGAP3) (Mental disorder-associated GAP) (Rho GTPase-activating protein 14) (WAVE-associated Rac GTPase-activating protein) (WRP)	SRGAP3 ARHGAP14 KIAA0411 KIAA1156 MEGAP SRGAP2	Homo sapiens (Human)	1099
SRGAP2	O75044	SRGP2_HUMAN	reviewed	SLIT-ROBO Rho GTPase-activating protein 2 (srGAP2) (Formin-binding protein 2) (Rho GTPase-activating protein 34)	SRGAP2 ARHGAP34 FNBP2 KIAA0456 SRGAP2A	Homo sapiens (Human)	1071
IKBKE	Q14164	IKKE_HUMAN	reviewed	Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (EC 2.7.11.10) (Inducible I kappa-B kinase) (IKK-i)	IKBKE IKKE IKKI KIAA0151	Homo sapiens (Human)	716
RASSF5	Q8WWW0	RASF5_HUMAN	reviewed	Ras association domain-containing protein 5 (New ras effector 1) (Regulator for cell adhesion and polarization enriched in lymphoid tissues) (RAPL)	RASSF5 NORE1 RAPL	Homo sapiens (Human)	418
EIF2D	P41214	EIF2D_HUMAN	reviewed	Eukaryotic translation initiation factor 2D (eIF2d) (Hepatocellular carcinoma-associated antigen 56) (Ligatin)	EIF2D HCA56 LGTN	Homo sapiens (Human)	584
MAPKAPK2	P49137	MAPK2_HUMAN	reviewed	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	MAPKAPK2	Homo sapiens (Human)	400
IL19	Q9UHD0	IL19_HUMAN	reviewed	Interleukin-19 (IL-19) (Melanoma differentiation-associated protein-like protein) (NG.1)	IL19 ZMDA1	Homo sapiens (Human)	177
IL24	Q13007	IL24_HUMAN	reviewed	Interleukin-24 (IL-24) (Melanoma differentiation-associated gene 7 protein) (MDA-7) (Suppression of tumorigenicity 16 protein)	IL24 MDA7 ST16	Homo sapiens (Human)	206
FCMR	O60667	FAIM3_HUMAN	reviewed	Fas apoptotic inhibitory molecule 3 (IgM Fc fragment receptor) (Regulator of Fas-induced apoptosis Toso)	FCMR FAIM3 TOSO	Homo sapiens (Human)	390
PIGR	P01833	PIGR_HUMAN	reviewed	Polymeric immunoglobulin receptor (PIgR) (Poly-Ig receptor) (Hepatocellular carcinoma-associated protein TB6) [Cleaved into: Secretory component]	PIGR	Homo sapiens (Human)	764
C1orf116	Q9BW04	SARG_HUMAN	reviewed	Specifically androgen-regulated gene protein	SARG C1orf116	Homo sapiens (Human)	601
PFKFB2	O60825	F262_HUMAN	reviewed	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (6PF-2-K/Fru-2,6-P2ase 2) (PFK/FBPase 2) (6PF-2-K/Fru-2,6-P2ase heart-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]	PFKFB2	Homo sapiens (Human)	505
C4BPA	P04003	C4BPA_HUMAN	reviewed	C4b-binding protein alpha chain (C4bp) (Proline-rich protein) (PRP)	C4BPA C4BP	Homo sapiens (Human)	597
CR2	P20023	CR2_HUMAN	reviewed	Complement receptor type 2 (Cr2) (Complement C3d receptor) (Epstein-Barr virus receptor) (EBV receptor) (CD antigen CD21)	CR2 C3DR	Homo sapiens (Human)	1033
CR1	P17927	CR1_HUMAN	reviewed	Complement receptor type 1 (C3b/C4b receptor) (CD antigen CD35)	CR1 C3BR	Homo sapiens (Human)	2039
PLXNA2	O75051	PLXA2_HUMAN	reviewed	Plexin-A2 (Semaphorin receptor OCT)	PLXNA2 KIAA0463 OCT PLXN2 UNQ209/PRO235	Homo sapiens (Human)	1894
CAMK1G	Q96NX5	KCC1G_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)	CAMK1G CLICK3 VWS1	Homo sapiens (Human)	476
LAMB3	Q13751	LAMB3_HUMAN	reviewed	Laminin subunit beta-3 (Epiligrin subunit bata) (Kalinin B1 chain) (Kalinin subunit beta) (Laminin B1k chain) (Laminin-5 subunit beta) (Nicein subunit beta)	LAMB3 LAMNB1	Homo sapiens (Human)	1172
TRAF3IP3	Q9Y228	T3JAM_HUMAN	reviewed	TRAF3-interacting JNK-activating modulator (TRAF3-interacting protein 3)	TRAF3IP3 T3JAM	Homo sapiens (Human)	551
DIEXF	Q68CQ4	DIEXF_HUMAN	reviewed	Digestive organ expansion factor homolog	DIEXF C1orf107 DEF	Homo sapiens (Human)	756
SERTAD4-AS1	Q5TG53	SEAS1_HUMAN	reviewed	Putative uncharacterized protein SERTAD4-AS1 (SERTAD4 antisense RNA 1) (SERTAD4 antisense gene protein 1)	SERTAD4-AS1 C1orf133	Homo sapiens (Human)	156
HHAT	Q5VTY9	HHAT_HUMAN	reviewed	Protein-cysteine N-palmitoyltransferase HHAT (EC 2.3.1.-) (Hedgehog acyltransferase) (Melanoma antigen recognized by T-cells 2) (MART-2) (Skinny hedgehog protein 1)	HHAT MART2 SKI1	Homo sapiens (Human)	493
KCNH1	O95259	KCNH1_HUMAN	reviewed	Potassium voltage-gated channel subfamily H member 1 (Ether-a-go-go potassium channel 1) (EAG channel 1) (h-eag) (hEAG1) (Voltage-gated potassium channel subunit Kv10.1)	KCNH1 EAG EAG1	Homo sapiens (Human)	989
RCOR3	Q9P2K3	RCOR3_HUMAN	reviewed	REST corepressor 3	RCOR3 KIAA1343	Homo sapiens (Human)	495
NEK2	P51955	NEK2_HUMAN	reviewed	Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1)	NEK2 NEK2A NLK1	Homo sapiens (Human)	445
DTL	Q9NZJ0	DTL_HUMAN	reviewed	Denticleless protein homolog (DDB1- and CUL4-associated factor 2) (Lethal(2) denticleless protein homolog) (Retinoic acid-regulated nuclear matrix-associated protein)	DTL CDT2 CDW1 DCAF2 L2DTL RAMP	Homo sapiens (Human)	730
PPP2R5A	Q15172	2A5A_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (PP2A B subunit isoform B'-alpha) (PP2A B subunit isoform B56-alpha) (PP2A B subunit isoform PR61-alpha) (PR61alpha) (PP2A B subunit isoform R5-alpha)	PPP2R5A	Homo sapiens (Human)	486
TMEM206	Q9H813	PACC1_HUMAN	reviewed	Proton-activated chloride channel (PAC) (hPAC) (Acid-sensitive outwardly-rectifying anion channel) (ASOR) (Proton-activated outwardly rectifying anion channel) (PAORAC) (Transmembrane protein 206) (hTMEM206)	PACC1 C1orf75 TMEM206	Homo sapiens (Human)	350
NENF	Q9UMX5	NENF_HUMAN	reviewed	Neudesin (Cell immortalization-related protein 2) (Neuron-derived neurotrophic factor) (Protein GIG47) (Secreted protein of unknown function) (SPUF protein)	NENF CIR2 SPUF	Homo sapiens (Human)	172
FAM71A	Q8IYT1	FA71A_HUMAN	reviewed	Protein FAM71A	FAM71A	Homo sapiens (Human)	594
BATF3	Q9NR55	BATF3_HUMAN	reviewed	Basic leucine zipper transcriptional factor ATF-like 3 (B-ATF-3) (21 kDa small nuclear factor isolated from T-cells) (Jun dimerization protein p21SNFT)	BATF3 SNFT	Homo sapiens (Human)	127
NSL1	Q96IY1	NSL1_HUMAN	reviewed	Kinetochore-associated protein NSL1 homolog	NSL1 C1orf48 DC31 DC8 MIS14	Homo sapiens (Human)	281
TATDN3	Q17R31	TATD3_HUMAN	reviewed	Putative deoxyribonuclease TATDN3 (EC 3.1.21.-)	TATDN3	Homo sapiens (Human)	274
