yourlist:M20200502A94466D2655679D1FD8953E075198DA8958C1B8	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
TMEM206	Q9H813	PACC1_HUMAN	reviewed	Proton-activated chloride channel (PAC) (hPAC) (Acid-sensitive outwardly-rectifying anion channel) (ASOR) (Proton-activated outwardly rectifying anion channel) (PAORAC) (Transmembrane protein 206) (hTMEM206)	PACC1 C1orf75 TMEM206	Homo sapiens (Human)	350
NENF	Q9UMX5	NENF_HUMAN	reviewed	Neudesin (Cell immortalization-related protein 2) (Neuron-derived neurotrophic factor) (Protein GIG47) (Secreted protein of unknown function) (SPUF protein)	NENF CIR2 SPUF	Homo sapiens (Human)	172
FAM71A	Q8IYT1	FA71A_HUMAN	reviewed	Protein FAM71A	FAM71A	Homo sapiens (Human)	594
NSL1	Q7Z3B3	KANL1_HUMAN	reviewed	KAT8 regulatory NSL complex subunit 1 (MLL1/MLL complex subunit KANSL1) (MSL1 homolog 1) (hMSL1v1) (NSL complex protein NSL1) (Non-specific lethal 1 homolog)	KANSL1 CENP-36 KIAA1267 MSL1V1 NSL1	Homo sapiens (Human)	1105
NSL1	Q96IY1	NSL1_HUMAN	reviewed	Kinetochore-associated protein NSL1 homolog	NSL1 C1orf48 DC31 DC8 MIS14	Homo sapiens (Human)	281
SPATA45	Q537H7	SPT45_HUMAN	reviewed	Spermatogenesis-associated protein 45	SPATA45 C1orf227 HSD-44 HSD44	Homo sapiens (Human)	98
SMYD2	Q9NRG4	SMYD2_HUMAN	reviewed	N-lysine methyltransferase SMYD2 (EC 2.1.1.-) (HSKM-B) (Histone methyltransferase SMYD2) (EC 2.1.1.354) (Lysine N-methyltransferase 3C) (SET and MYND domain-containing protein 2)	SMYD2 KMT3C	Homo sapiens (Human)	433
PTPN14	Q15678	PTN14_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase pez)	PTPN14 PEZ PTPD2	Homo sapiens (Human)	1187
CENPF	P49454	CENPF_HUMAN	reviewed	Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)	CENPF	Homo sapiens (Human)	3114
KCTD3	Q9Y597	KCTD3_HUMAN	reviewed	BTB/POZ domain-containing protein KCTD3 (Renal carcinoma antigen NY-REN-45)	KCTD3	Homo sapiens (Human)	815
USH2A	O75445	USH2A_HUMAN	reviewed	Usherin (Usher syndrome type IIa protein) (Usher syndrome type-2A protein)	USH2A	Homo sapiens (Human)	5202
ESRRG	P62508	ERR3_HUMAN	reviewed	Estrogen-related receptor gamma (ERR gamma-2) (Estrogen receptor-related protein 3) (Nuclear receptor subfamily 3 group B member 3)	ESRRG ERR3 ERRG2 KIAA0832 NR3B3	Homo sapiens (Human)	458
SPATA17	Q96L03	SPT17_HUMAN	reviewed	Spermatogenesis-associated protein 17	SPATA17	Homo sapiens (Human)	361
LYPLAL1	Q5VWZ2	LYPL1_HUMAN	reviewed	Lysophospholipase-like protein 1 (EC 3.1.2.-)	LYPLAL1	Homo sapiens (Human)	237
EPRS	P07814	SYEP_HUMAN	reviewed	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]	EPRS1 EPRS GLNS PARS QARS QPRS PIG32	Homo sapiens (Human)	1512
MARK1	Q9P0L2	MARK1_HUMAN	reviewed	Serine/threonine-protein kinase MARK1 (EC 2.7.11.1) (EC 2.7.11.26) (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (Par1c)	MARK1 KIAA1477 MARK	Homo sapiens (Human)	795
MARC2	Q969Z3	MARC2_HUMAN	reviewed	Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.7.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)	MTARC2 MARC2 MOSC2	Homo sapiens (Human)	335
MARC1	Q5VT66	MARC1_HUMAN	reviewed	Mitochondrial amidoxime-reducing component 1 (mARC1) (EC 1.7.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 1) (MOSC domain-containing protein 1) (Moco sulfurase C-terminal domain-containing protein 1)	MTARC1 MARC1 MOSC1	Homo sapiens (Human)	337
HLX	Q14774	HLX_HUMAN	reviewed	H2.0-like homeobox protein (Homeobox protein HB24) (Homeobox protein HLX1)	HLX HLX1	Homo sapiens (Human)	488
C1orf140	Q5VVS0	CA140_HUMAN	reviewed	Putative uncharacterized protein C1orf140	C1orf140	Homo sapiens (Human)	124
DUSP10	Q9Y6W6	DUS10_HUMAN	reviewed	Dual specificity protein phosphatase 10 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 5) (MAP kinase phosphatase 5) (MKP-5)	DUSP10 MKP5	Homo sapiens (Human)	482
HHIPL2	Q6UWX4	HIPL2_HUMAN	reviewed	HHIP-like protein 2	HHIPL2 HHIP3 KIAA1822L UNQ841/PRO1779	Homo sapiens (Human)	724
TAF1A	Q15573	TAF1A_HUMAN	reviewed	TATA box-binding protein-associated factor RNA polymerase I subunit A (RNA polymerase I-specific TBP-associated factor 48 kDa) (TAFI48) (TATA box-binding protein-associated factor 1A) (TBP-associated factor 1A) (Transcription factor SL1) (Transcription initiation factor SL1/TIF-IB subunit A)	TAF1A	Homo sapiens (Human)	450
MIA3	Q5JRA6	TGO1_HUMAN	reviewed	Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3)	MIA3 KIAA0268 TANGO UNQ6077/PRO20088	Homo sapiens (Human)	1907
FAM177B	A6PVY3	F177B_HUMAN	reviewed	Protein FAM177B	FAM177B	Homo sapiens (Human)	158
DISP1	Q96F81	DISP1_HUMAN	reviewed	Protein dispatched homolog 1	DISP1 DISPA	Homo sapiens (Human)	1524
TLR5	O60602	TLR5_HUMAN	reviewed	Toll-like receptor 5 (Toll/interleukin-1 receptor-like protein 3)	TLR5 TIL3	Homo sapiens (Human)	858
SUSD4	Q5VX71	SUSD4_HUMAN	reviewed	Sushi domain-containing protein 4	SUSD4 UNQ196/PRO222	Homo sapiens (Human)	490
CAPN2	P17655	CAN2_HUMAN	reviewed	Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain large polypeptide L2) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	CAPN2 CANPL2	Homo sapiens (Human)	700
NVL	O15381	NVL_HUMAN	reviewed	Nuclear valosin-containing protein-like (NVLp) (Nuclear VCP-like protein)	NVL NVL2	Homo sapiens (Human)	856
DNAH14	Q0VDD8	DYH14_HUMAN	reviewed	Dynein heavy chain 14, axonemal (Axonemal beta dynein heavy chain 14) (Ciliary dynein heavy chain 14)	DNAH14 C1orf67	Homo sapiens (Human)	3507
LBR	Q14739	LBR_HUMAN	reviewed	Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (LMN2R) (Lamin-B receptor) (Sterol C14-reductase)	LBR	Homo sapiens (Human)	615
EPHX1	P07099	HYEP_HUMAN	reviewed	Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase) (mEH)	EPHX1 EPHX EPOX	Homo sapiens (Human)	455
TMEM63A	O94886	CSCL1_HUMAN	reviewed	CSC1-like protein 1 (Transmembrane protein 63A)	TMEM63A KIAA0489 KIAA0792	Homo sapiens (Human)	807
PYCR2	Q96C36	P5CR2_HUMAN	reviewed	Pyrroline-5-carboxylate reductase 2 (P5C reductase 2) (P5CR 2) (EC 1.5.1.2)	PYCR2	Homo sapiens (Human)	320
ACBD3	Q9H3P7	GCP60_HUMAN	reviewed	Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7) [Cleaved into: Golgi resident protein GCP60, N-terminally processed]	ACBD3 GCP60 GOCAP1 GOLPH1	Homo sapiens (Human)	528
LIN9	Q5TKA1	LIN9_HUMAN	reviewed	Protein lin-9 homolog (HuLin-9) (hLin-9) (Beta subunit-associated regulator of apoptosis) (TUDOR gene similar protein) (Type I interferon receptor beta chain-associated protein) (pRB-associated protein)	LIN9 BARA TGS	Homo sapiens (Human)	542
PARP1	P09874	PARP1_HUMAN	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)	PARP1 ADPRT PPOL	Homo sapiens (Human)	1014
PSEN2	P49810	PSN2_HUMAN	reviewed	Presenilin-2 (PS-2) (EC 3.4.23.-) (AD3LP) (AD5) (E5-1) (STM-2) [Cleaved into: Presenilin-2 NTF subunit; Presenilin-2 CTF subunit]	PSEN2 AD4 PS2 PSNL2 STM2	Homo sapiens (Human)	448
COQ8A	Q8NI60	COQ8A_HUMAN	reviewed	Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)	COQ8A ADCK3 CABC1 PP265	Homo sapiens (Human)	647
CDC42BPA	Q5VT25	MRCKA_HUMAN	reviewed	Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)	CDC42BPA KIAA0451	Homo sapiens (Human)	1732
JMJD4	Q9H9V9	JMJD4_HUMAN	reviewed	2-oxoglutarate and iron-dependent oxygenase JMJD4 (EC 1.14.11.-) (JmjC domain-containing protein 4) (Jumonji domain-containing protein 4) (Lysyl-hydroxylase JMJD4)	JMJD4	Homo sapiens (Human)	463
PRSS38	A1L453	PRS38_HUMAN	reviewed	Serine protease 38 (EC 3.4.21.-) (Marapsin-2)	PRSS38 MPN2	Homo sapiens (Human)	326
WNT9A	O14904	WNT9A_HUMAN	reviewed	Protein Wnt-9a (Protein Wnt-14)	WNT9A WNT14	Homo sapiens (Human)	365
IBA57-AS1	B1ANH7	IBADT_HUMAN	reviewed	Putative uncharacterized protein IBA57-DT (IBA57 antisense RNA 1) (IBA57 antisense gene protein 1) (IBA57 divergent transcripte)	IBA57-DT C1orf148 IBA57-AS1	Homo sapiens (Human)	110
OBSCN-AS1	Q96MR7	OBAS1_HUMAN	reviewed	Putative uncharacterized protein OBSCN-AS1 (OBSCN antisense RNA 1) (OBSCN antisense gene protein 1)	OBSCN-AS1 C1orf145	Homo sapiens (Human)	158
HIST3H3	Q16695	H31T_HUMAN	reviewed	Histone H3.1t (H3/t) (H3t) (H3/g) (Histone H3.4)	H3-4 H3FT HIST3H3	Homo sapiens (Human)	136
CCSAP	Q6IQ19	CCSAP_HUMAN	reviewed	Centriole, cilia and spindle-associated protein	CCSAP C1orf96 CSAP	Homo sapiens (Human)	270
NUP133	Q8WUM0	NU133_HUMAN	reviewed	Nuclear pore complex protein Nup133 (133 kDa nucleoporin) (Nucleoporin Nup133)	NUP133	Homo sapiens (Human)	1156
TAF5L	O75529	TAF5L_HUMAN	reviewed	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L (TAF5L) (PCAF-associated factor 65 beta) (PAF65-beta)	TAF5L PAF65B	Homo sapiens (Human)	589
URB2	Q14146	URB2_HUMAN	reviewed	Unhealthy ribosome biogenesis protein 2 homolog	URB2 KIAA0133	Homo sapiens (Human)	1524
GALNT2	Q10471	GALT2_HUMAN	reviewed	Polypeptide N-acetylgalactosaminyltransferase 2 (EC 2.4.1.41) (Polypeptide GalNAc transferase 2) (GalNAc-T2) (pp-GaNTase 2) (Protein-UDP acetylgalactosaminyltransferase 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 2 soluble form]	GALNT2	Homo sapiens (Human)	571
COG2	Q14746	COG2_HUMAN	reviewed	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (Low density lipoprotein receptor defect C-complementing protein)	COG2 LDLC	Homo sapiens (Human)	738
AGT	P01019	ANGT_HUMAN	reviewed	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]	AGT SERPINA8	Homo sapiens (Human)	485
CAPN9	O14815	CAN9_HUMAN	reviewed	Calpain-9 (EC 3.4.22.-) (Digestive tract-specific calpain) (New calpain 4) (nCL-4) (Protein CG36)	CAPN9 NCL4	Homo sapiens (Human)	690
TTC13	Q8NBP0	TTC13_HUMAN	reviewed	Tetratricopeptide repeat protein 13 (TPR repeat protein 13)	TTC13 PSEC0076	Homo sapiens (Human)	860
SPRTN	Q9H040	SPRTN_HUMAN	reviewed	SprT-like domain-containing protein Spartan (DNA damage protein targeting VCP) (DVC1) (Protein with SprT-like domain at the N terminus) (Spartan)	SPRTN C1orf124 DVC1 UNQ1880/PRO4323	Homo sapiens (Human)	489
DISC1	Q9NRI5	DISC1_HUMAN	reviewed	Disrupted in schizophrenia 1 protein	DISC1 KIAA0457	Homo sapiens (Human)	854
SIPA1L2	Q9P2F8	SI1L2_HUMAN	reviewed	Signal-induced proliferation-associated 1-like protein 2 (SIPA1-like protein 2)	SIPA1L2 KIAA1389	Homo sapiens (Human)	1722
MAP10	Q9P2G4	MAP10_HUMAN	reviewed	Microtubule-associated protein 10 (Microtubule regulator of 120 KDa)	MAP10 KIAA1383 MTR120	Homo sapiens (Human)	905
NTPCR	Q9BSD7	NTPCR_HUMAN	reviewed	Cancer-related nucleoside-triphosphatase (NTPase) (EC 3.6.1.15) (Nucleoside triphosphate phosphohydrolase)	NTPCR C1orf57	Homo sapiens (Human)	190
PCNX2	A6NKB5	PCX2_HUMAN	reviewed	Pecanex-like protein 2 (Pecanex homolog protein 2)	PCNX2 KIAA0435 PCNXL2	Homo sapiens (Human)	2137
MAP3K21	Q5TCX8	M3K21_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 21 (EC 2.7.11.25) (Mitogen-activated protein kinase kinase kinase MLK4) (Mixed lineage kinase 4)	MAP3K21 KIAA1804 MLK4	Homo sapiens (Human)	1036
SLC35F3	Q8IY50	S35F3_HUMAN	reviewed	Putative thiamine transporter SLC35F3 (Solute carrier family 35 member F3)	SLC35F3	Homo sapiens (Human)	421
COA6	Q5JTJ3	COA6_HUMAN	reviewed	Cytochrome c oxidase assembly factor 6 homolog	COA6 C1orf31	Homo sapiens (Human)	125
TARBP1	Q13395	TARB1_HUMAN	reviewed	Probable methyltransferase TARBP1 (EC 2.1.1.-) (TAR RNA-binding protein 1) (TAR RNA-binding protein of 185 kDa) (TRP-185)	TARBP1 TRM3 TRP185	Homo sapiens (Human)	1621
IRF2BP2	Q7Z5L9	I2BP2_HUMAN	reviewed	Interferon regulatory factor 2-binding protein 2 (IRF-2-binding protein 2) (IRF-2BP2)	IRF2BP2	Homo sapiens (Human)	587
ARID4B	Q4LE39	ARI4B_HUMAN	reviewed	AT-rich interactive domain-containing protein 4B (ARID domain-containing protein 4B) (180 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p180) (Breast cancer-associated antigen BRCAA1) (Histone deacetylase complex subunit SAP180) (Retinoblastoma-binding protein 1-like 1)	ARID4B BRCAA1 RBBP1L1 RBP1L1 SAP180	Homo sapiens (Human)	1312
B3GALNT2	Q8NCR0	B3GL2_HUMAN	reviewed	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2 (Beta-1,3-GalNAc-T2) (EC 2.4.1.313) (Beta-1,3-N-acetylgalactosaminyltransferase II)	B3GALNT2	Homo sapiens (Human)	500
GNG4	P50150	GBG4_HUMAN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4	GNG4 GNGT4	Homo sapiens (Human)	75
LYST	Q99698	LYST_HUMAN	reviewed	Lysosomal-trafficking regulator (Beige homolog)	LYST CHS CHS1	Homo sapiens (Human)	3801
NID1	P14543	NID1_HUMAN	reviewed	Nidogen-1 (NID-1) (Entactin)	NID1 NID	Homo sapiens (Human)	1247
ERO1B	Q86YB8	ERO1B_HUMAN	reviewed	ERO1-like protein beta (ERO1-L-beta) (EC 1.8.4.-) (Endoplasmic reticulum oxidoreductase beta) (Endoplasmic reticulum oxidoreductin-1-like protein B) (Oxidoreductin-1-L-beta)	ERO1B ERO1LB	Homo sapiens (Human)	467
HEATR1	Q9H583	HEAT1_HUMAN	reviewed	HEAT repeat-containing protein 1 (Protein BAP28) (U3 small nucleolar RNA-associated protein 10 homolog) [Cleaved into: HEAT repeat-containing protein 1, N-terminally processed]	HEATR1 BAP28 UTP10	Homo sapiens (Human)	2144
ACTN2	P35609	ACTN2_HUMAN	reviewed	Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein)	ACTN2	Homo sapiens (Human)	894
MTR	Q99707	METH_HUMAN	reviewed	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Vitamin-B12 dependent methionine synthase) (MS)	MTR	Homo sapiens (Human)	1265
RYR2	Q92736	RYR2_HUMAN	reviewed	Ryanodine receptor 2 (RYR-2) (RyR2) (hRYR-2) (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Type 2 ryanodine receptor)	RYR2	Homo sapiens (Human)	4967
FMN2	Q9NZ56	FMN2_HUMAN	reviewed	Formin-2	FMN2	Homo sapiens (Human)	1722
KMO	O15229	KMO_HUMAN	reviewed	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase)	KMO	Homo sapiens (Human)	486
CHML	P26374	RAE2_HUMAN	reviewed	Rab proteins geranylgeranyltransferase component A 2 (Choroideremia-like protein) (Rab escort protein 2) (REP-2)	CHML REP2	Homo sapiens (Human)	656
EXO1	Q9UQ84	EXO1_HUMAN	reviewed	Exonuclease 1 (hExo1) (EC 3.1.-.-) (Exonuclease I) (hExoI)	EXO1 EXOI HEX1	Homo sapiens (Human)	846
PLD5	Q8N7P1	PLD5_HUMAN	reviewed	Inactive phospholipase D5 (Inactive PLD 5) (Inactive choline phosphatase 5) (Inactive phosphatidylcholine-hydrolyzing phospholipase D5) (PLDc)	PLD5	Homo sapiens (Human)	536
SDCCAG8	Q86SQ7	SDCG8_HUMAN	reviewed	Serologically defined colon cancer antigen 8 (Antigen NY-CO-8) (Centrosomal colon cancer autoantigen protein) (hCCCAP)	SDCCAG8 CCCAP NPHP10 HSPC085	Homo sapiens (Human)	713
HNRNPU	Q00839	HNRPU_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	HNRNPU C1orf199 HNRPU SAFA U21.1	Homo sapiens (Human)	825
EFCAB2	Q5VUJ9	DRC8_HUMAN	reviewed	Dynein regulatory complex protein 8 (EF-hand calcium-binding domain-containing protein 2)	EFCAB2 DRC8	Homo sapiens (Human)	269
KIF26B	Q2KJY2	KI26B_HUMAN	reviewed	Kinesin-like protein KIF26B	KIF26B	Homo sapiens (Human)	2108
SMYD3	Q9H7B4	SMYD3_HUMAN	reviewed	Histone-lysine N-methyltransferase SMYD3 (EC 2.1.1.354) (SET and MYND domain-containing protein 3) (Zinc finger MYND domain-containing protein 1)	SMYD3 ZMYND1 ZNFN3A1	Homo sapiens (Human)	428
TFB2M	Q9H5Q4	TFB2M_HUMAN	reviewed	Dimethyladenosine transferase 2, mitochondrial (EC 2.1.1.-) (Hepatitis C virus NS5A-transactivated protein 5) (HCV NS5A-transactivated protein 5) (Mitochondrial 12S rRNA dimethylase 2) (Mitochondrial transcription factor B2) (h-mtTFB) (h-mtTFB2) (hTFB2M) (mtTFB2) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 2)	TFB2M NS5ATP5	Homo sapiens (Human)	396
CNST	Q6PJW8	CNST_HUMAN	reviewed	Consortin	CNST C1orf71	Homo sapiens (Human)	725
VN1R5	Q7Z5H4	VN1R5_HUMAN	reviewed	Vomeronasal type-1 receptor 5 (G-protein coupled receptor GPCR26) (hGPCR26) (V1r-like receptor 5)	VN1R5 V1RL5	Homo sapiens (Human)	357
ZNF496	Q96IT1	ZN496_HUMAN	reviewed	Zinc finger protein 496 (Zinc finger protein with KRAB and SCAN domains 17)	ZNF496 ZKSCAN17	Homo sapiens (Human)	587
OR2B11	Q5JQS5	OR2BB_HUMAN	reviewed	Olfactory receptor 2B11	OR2B11	Homo sapiens (Human)	317
OR2W5	A6NFC9	OR2W5_HUMAN	reviewed	Putative olfactory receptor 2W5	OR2W5 OR2W5P	Homo sapiens (Human)	320
OR2C3	Q8N628	OR2C3_HUMAN	reviewed	Olfactory receptor 2C3 (Olfactory receptor 2C4) (Olfactory receptor 2C5) (Olfactory receptor OR1-30)	OR2C3 OR2C4 OR2C5P	Homo sapiens (Human)	320
OR2G2	Q8NGZ5	OR2G2_HUMAN	reviewed	Olfactory receptor 2G2 (Olfactory receptor OR1-32)	OR2G2	Homo sapiens (Human)	317
OR2G3	Q8NGZ4	OR2G3_HUMAN	reviewed	Olfactory receptor 2G3 (Olfactory receptor OR1-33)	OR2G3	Homo sapiens (Human)	309
OR13G1	Q8NGZ3	O13G1_HUMAN	reviewed	Olfactory receptor 13G1 (Olfactory receptor OR1-37)	OR13G1	Homo sapiens (Human)	307
OR6F1	Q8NGZ6	OR6F1_HUMAN	reviewed	Olfactory receptor 6F1 (Olfactory receptor OR1-38)	OR6F1	Homo sapiens (Human)	308
OR1C1	Q15619	OR1C1_HUMAN	reviewed	Olfactory receptor 1C1 (Olfactory receptor OR1-42) (Olfactory receptor TPCR27)	OR1C1	Homo sapiens (Human)	314
OR14A16	Q8NHC5	O14AG_HUMAN	reviewed	Olfactory receptor 14A16 (Olfactory receptor 5AT1) (Olfactory receptor OR1-45)	OR14A16 OR5AT1	Homo sapiens (Human)	309
OR11L1	Q8NGX0	O11L1_HUMAN	reviewed	Olfactory receptor 11L1	OR11L1	Homo sapiens (Human)	322
TRIM58	Q8NG06	TRI58_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM58 (EC 2.3.2.27) (Protein BIA2) (RING-type E3 ubiquitin transferase TRIM58) (Tripartite motif-containing protein 58)	TRIM58	Homo sapiens (Human)	486
OR2W3	Q7Z3T1	OR2W3_HUMAN	reviewed	Olfactory receptor 2W3 (Olfactory receptor 2W8) (Olfactory receptor OR1-49)	OR2W3 OR2W3P OR2W8P	Homo sapiens (Human)	314
OR2T8	A6NH00	OR2T8_HUMAN	reviewed	Olfactory receptor 2T8	OR2T8 OR2T8P	Homo sapiens (Human)	312
OR2L8	Q8NGY9	OR2L8_HUMAN	reviewed	Olfactory receptor 2L8 (Olfactory receptor OR1-46)	OR2L8	Homo sapiens (Human)	312
OR2AK2	Q8NG84	O2AK2_HUMAN	reviewed	Olfactory receptor 2AK2 (Olfactory receptor 2AK1) (Olfactory receptor OR1-47)	OR2AK2 OR2AK1P	Homo sapiens (Human)	335
OR2T4	Q8NH00	OR2T4_HUMAN	reviewed	Olfactory receptor 2T4 (Olfactory receptor OR1-60)	OR2T4	Homo sapiens (Human)	348
OR2T11	Q8NH01	O2T11_HUMAN	reviewed	Olfactory receptor 2T11 (Olfactory receptor OR1-65)	OR2T11	Homo sapiens (Human)	316
FAM110C	Q1W6H9	F110C_HUMAN	reviewed	Protein FAM110C	FAM110C	Homo sapiens (Human)	321
SH3YL1	Q96HL8	SH3Y1_HUMAN	reviewed	SH3 domain-containing YSC84-like protein 1	SH3YL1	Homo sapiens (Human)	342
TPO	P07202	PERT_HUMAN	reviewed	Thyroid peroxidase (TPO) (EC 1.11.1.8)	TPO	Homo sapiens (Human)	933
MYT1L	Q9UL68	MYT1L_HUMAN	reviewed	Myelin transcription factor 1-like protein (MyT1-L) (MyT1L)	MYT1L KIAA1106	Homo sapiens (Human)	1186
TRAPPC12	Q8WVT3	TPC12_HUMAN	reviewed	Trafficking protein particle complex subunit 12 (Tetratricopeptide repeat protein 15) (TPR repeat protein 15) (TTC-15) (Trafficking of membranes and mitosis)	TRAPPC12 TRAMM TTC15 CGI-87	Homo sapiens (Human)	735
CMPK2	Q5EBM0	CMPK2_HUMAN	reviewed	UMP-CMP kinase 2, mitochondrial (EC 2.7.4.14) (Nucleoside-diphosphate kinase) (EC 2.7.4.6)	CMPK2	Homo sapiens (Human)	449
LINC00299	Q6ZSB3	CB046_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00299	LINC00299 C2orf46 NCRNA00299	Homo sapiens (Human)	139
ASAP2	O43150	ASAP2_HUMAN	reviewed	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 (Development and differentiation-enhancing factor 2) (Paxillin-associated protein with ARF GAP activity 3) (PAG3) (Pyk2 C-terminus-associated protein) (PAP)	ASAP2 DDEF2 KIAA0400	Homo sapiens (Human)	1006
ADAM17	P78536	ADA17_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	ADAM17 CSVP TACE	Homo sapiens (Human)	824
TAF1B	Q53T94	TAF1B_HUMAN	reviewed	TATA box-binding protein-associated factor RNA polymerase I subunit B (RNA polymerase I-specific TBP-associated factor 63 kDa) (TAFI63) (TATA box-binding protein-associated factor 1B) (TBP-associated factor 1B) (Transcription initiation factor SL1/TIF-IB subunit B)	TAF1B	Homo sapiens (Human)	588
GRHL1	Q9NZI5	GRHL1_HUMAN	reviewed	Grainyhead-like protein 1 homolog (Mammalian grainyhead) (NH32) (Transcription factor CP2-like 2) (Transcription factor LBP-32)	GRHL1 LBP32 MGR TFCP2L2	Homo sapiens (Human)	618
KLF11	O14901	KLF11_HUMAN	reviewed	Krueppel-like factor 11 (Transforming growth factor-beta-inducible early growth response protein 2) (TGFB-inducible early growth response protein 2) (TIEG-2)	KLF11 FKLF TIEG2	Homo sapiens (Human)	512
RRM2	P31350	RIR2_HUMAN	reviewed	Ribonucleoside-diphosphate reductase subunit M2 (EC 1.17.4.1) (Ribonucleotide reductase small chain) (Ribonucleotide reductase small subunit)	RRM2 RR2	Homo sapiens (Human)	389
ATP6V1C2	Q8NEY4	VATC2_HUMAN	reviewed	V-type proton ATPase subunit C 2 (V-ATPase subunit C 2) (Vacuolar proton pump subunit C 2)	ATP6V1C2	Homo sapiens (Human)	427
